Timestamp(ms),Current(uA),D0-D7
66.94,3.007,10000000
66.95,2.964,10000000
66.96,2.92,10000000
66.97,3.007,10000000
66.98,3.139,10000000
66.99,3.095,10000000
67,3.095,10000000
67.01,2.964,10000000
67.02,3.139,10000000
67.03,3.095,10000000
67.04,3.051,10000000
67.05,3.095,10000000
67.06,3.139,10000000
67.07,3.095,10000000
67.08,3.359,10000000
67.09,3.139,10000000
67.1,2.964,10000000
67.11,3.139,10000000
67.12,3.051,10000000
67.13,3.007,10000000
67.14,3.095,10000000
67.15,3.007,10000000
67.16,2.964,10000000
67.17,3.051,10000000
67.18,3.139,10000000
67.19,3.139,10000000
67.2,2.964,10000000
67.21,3.007,10000000
67.22,3.183,10000000
67.23,3.095,10000000
67.24,3.007,10000000
67.25,2.964,10000000
67.26,3.051,10000000
67.27,3.271,10000000
67.28,3.095,10000000
67.29,3.007,10000000
67.3,3.007,10000000
67.31,3.139,10000000
67.32,3.007,10000000
67.33,2.876,10000000
67.34,2.876,10000000
67.35,3.095,10000000
67.36,2.964,10000000
67.37,3.139,10000000
67.38,2.92,10000000
67.39,3.139,10000000
67.4,3.095,10000000
67.41,3.051,10000000
67.42,3.139,10000000
67.43,3.051,10000000
67.44,3.051,10000000
67.45,3.139,10000000
67.46,3.139,10000000
67.47,2.964,10000000
67.48,2.92,10000000
67.49,2.832,10000000
67.5,2.964,10000000
67.51,2.92,10000000
67.52,3.051,10000000
67.53,3.051,10000000
67.54,3.139,10000000
67.55,3.051,10000000
67.56,3.051,10000000
67.57,3.007,10000000
67.58,3.051,10000000
67.59,3.007,10000000
67.6,3.139,10000000
67.61,3.051,10000000
67.62,3.139,10000000
67.63,2.92,10000000
67.64,3.095,10000000
67.65,2.964,10000000
67.66,3.139,10000000
67.67,2.92,10000000
67.68,3.139,10000000
67.69,3.139,10000000
67.7,3.095,10000000
67.71,3.051,10000000
67.72,2.964,10000000
67.73,3.095,10000000
67.74,3.007,10000000
67.75,3.007,10000000
67.76,3.051,10000000
67.77,3.007,10000000
67.78,3.007,10000000
67.79,3.139,10000000
67.8,3.007,10000000
67.81,3.095,10000000
67.82,3.139,10000000
67.83,3.139,10000000
67.84,3.183,10000000
67.85,3.183,10000000
67.86,3.051,10000000
67.87,3.183,10000000
67.88,3.095,10000000
67.89,3.095,10000000
67.9,3.007,10000000
67.91,3.051,10000000
67.92,3.183,10000000
67.93,3.095,10000000
67.94,3.095,10000000
67.95,3.095,10000000
67.96,3.051,10000000
67.97,3.095,10000000
67.98,3.095,10000000
67.99,2.964,10000000
68,3.007,10000000
68.01,3.095,10000000
68.02,3.007,10000000
68.03,3.051,10000000
68.04,2.964,10000000
68.05,3.095,10000000
68.06,2.92,10000000
68.07,3.095,10000000
68.08,3.051,10000000
68.09,2.964,10000000
68.1,2.964,10000000
68.11,3.007,10000000
68.12,2.964,10000000
68.13,3.051,10000000
68.14,3.051,10000000
68.15,3.051,10000000
68.16,3.051,10000000
68.17,2.92,10000000
68.18,3.095,10000000
68.19,3.051,10000000
68.2,3.183,10000000
68.21,3.007,10000000
68.22,3.007,10000000
68.23,3.095,10000000
68.24,3.051,10000000
68.25,3.007,10000000
68.26,2.964,10000000
68.27,3.139,10000000
68.28,3.095,10000000
68.29,2.964,10000000
68.3,3.051,10000000
68.31,3.007,10000000
68.32,3.051,10000000
68.33,3.051,10000000
68.34,2.92,10000000
68.35,3.051,10000000
68.36,2.964,10000000
68.37,3.007,10000000
68.38,3.095,10000000
68.39,3.007,10000000
68.4,3.007,10000000
68.41,3.139,10000000
68.42,3.007,10000000
68.43,3.007,10000000
68.44,3.095,10000000
68.45,3.139,10000000
